35,319

122,777

32,873

0,137

3,299

96,1250

32,310

0,52

29,402

168,1288

0,665

11,1175

6,289

0,42

4,1137

47,1290

0,0

1,426

0,30

1,28

1,50

26,517

17,563

0,635

0,502

143,938

0,1

5,198

0,14

181,1487

0,24

48,392

0,766

0,7

0,85

46,370

167,1378

0,451

0,655

0,456

0,225

0,480

0,381

62,1278

0,330

1,359

6,113

16,105

75,720

1,172

96,1320

0,590

21,110

1,104

1,199

44,993

4,134

29,428

21,63

1,416

0,495

13,588

1,662

1,135

0,650

1,232

165,1040

53,1124

0,68

6,230

2,53

35,1320

9,433

0,285

0,324

0,82

0,42

0,253

82,549

1,107

91,542

88,588

0,3

0,215

0,152

0,500

0,249

38,313

0,174

0,66

1,385

0,82

61,1159

1,699

0,17

0,118

0,97

0,264

1,178

22,515

0,33

39,971

0,407

13,1125

0,42

1,481

1,320

120,803

0,29

0,42

1,154

10,506

1,187

0,202

0,44

0,717

201,1197

1,432

48,661

0,417

1,127

0,31

0,91

0,61

0,461

34,178

0,151

3,392

0,571

0,196

87,1203

172,889

0,446

271,1386

68,917

1,580

0,17

131,1222

62,1125

1,46

12,432

0,132

145,999

0,154

0,262

13,1090

47,369

80,1310

0,27

0,160

2,800

0,274

0,172

103,792

0,11

0,31

149,809

12,1034

1,137

6,602

0,179

1,489

1,154

0,102

0,226

0,61

0,115

0,196

25,454

0,321

181,1615

21,1008

15,1142

0,636

21,302

0,132

4,31

0,145

15,477

0,110

4,207

0,98

0,159

64,1299

17,739

58,866

281,1593

2,121

90,1251

134,1111

0,190

1,462

1,705

6,348

35,1081

78,1088

0,423

35,780

1,697

2,36
